quarter,base_rate,region,covid
2009Q2,0.0,DG,0
2009Q3,0.0,DG,0
2009Q4,0.0,DG,0
2010Q1,0.0,DG,0
2010Q2,0.0,DG,0
2010Q3,0.25,DG,0
2010Q4,0.25,DG,0
2011Q1,0.5,DG,0
2011Q2,0.25,DG,0
2011Q3,0.0,DG,0
2011Q4,0.0,DG,0
2012Q1,0.0,DG,0
2012Q2,0.0,DG,0
2012Q3,-0.25,DG,0
2012Q4,-0.25,DG,0
2013Q1,0.0,DG,0
2013Q2,-0.25,DG,0
2013Q3,0.0,DG,0
2013Q4,0.0,DG,0
2014Q1,0.0,DG,0
2014Q2,0.0,DG,0
2014Q3,-0.25,DG,0
2014Q4,-0.25,DG,0
2015Q1,-0.25,DG,0
2015Q2,-0.25,DG,0
2015Q3,0.0,DG,0
2015Q4,0.0,DG,0
2016Q1,0.0,DG,0
2016Q2,-0.25,DG,0
2016Q3,0.0,DG,0
2016Q4,0.0,DG,0
2017Q1,0.0,DG,0
2017Q2,0.0,DG,0
2017Q3,0.0,DG,0
2017Q4,0.25,DG,0
2018Q1,0.0,DG,0
2018Q2,0.0,DG,0
2018Q3,0.0,DG,0
2018Q4,0.25,DG,0
2019Q1,0.0,DG,0
2019Q2,0.0,DG,0
2019Q3,-0.25,DG,0
2019Q4,-0.25,DG,0
2020Q1,-0.5,DG,1
2020Q2,-0.25,DG,1
2020Q3,0.0,DG,1
2020Q4,0.0,DG,1
2021Q1,0.0,DG,1
2021Q2,0.0,DG,1
2021Q3,0.25,DG,0
2021Q4,0.25,DG,0
2022Q1,0.25,DG,0
2022Q2,0.5,DG,0
2022Q3,0.75,DG,0
2022Q4,0.75,DG,0
2023Q1,0.25,DG,0
2023Q2,0.0,DG,0
2023Q3,0.0,DG,0
2023Q4,0.0,DG,0
2024Q1,0.0,DG,0
2024Q2,0.0,DG,0
2024Q3,0.0,DG,0
2024Q4,-0.5,DG,0
2025Q1,-0.25,DG,0
2025Q2,-0.25,DG,0
2025Q3,0.0,DG,0
2025Q4,0.0,DG,0
2026Q1,0.0,DG,0
2026Q2,0.0,DG,0
2009Q2,0.0,DJ,0
2009Q3,0.0,DJ,0
2009Q4,0.0,DJ,0
2010Q1,0.0,DJ,0
2010Q2,0.0,DJ,0
2010Q3,0.25,DJ,0
2010Q4,0.25,DJ,0
2011Q1,0.5,DJ,0
2011Q2,0.25,DJ,0
2011Q3,0.0,DJ,0
2011Q4,0.0,DJ,0
2012Q1,0.0,DJ,0
2012Q2,0.0,DJ,0
2012Q3,-0.25,DJ,0
2012Q4,-0.25,DJ,0
2013Q1,0.0,DJ,0
2013Q2,-0.25,DJ,0
2013Q3,0.0,DJ,0
2013Q4,0.0,DJ,0
2014Q1,0.0,DJ,0
2014Q2,0.0,DJ,0
2014Q3,-0.25,DJ,0
2014Q4,-0.25,DJ,0
2015Q1,-0.25,DJ,0
2015Q2,-0.25,DJ,0
2015Q3,0.0,DJ,0
2015Q4,0.0,DJ,0
2016Q1,0.0,DJ,0
2016Q2,-0.25,DJ,0
2016Q3,0.0,DJ,0
2016Q4,0.0,DJ,0
2017Q1,0.0,DJ,0
2017Q2,0.0,DJ,0
2017Q3,0.0,DJ,0
2017Q4,0.25,DJ,0
2018Q1,0.0,DJ,0
2018Q2,0.0,DJ,0
2018Q3,0.0,DJ,0
2018Q4,0.25,DJ,0
2019Q1,0.0,DJ,0
2019Q2,0.0,DJ,0
2019Q3,-0.25,DJ,0
2019Q4,-0.25,DJ,0
2020Q1,-0.5,DJ,1
2020Q2,-0.25,DJ,1
2020Q3,0.0,DJ,1
2020Q4,0.0,DJ,1
2021Q1,0.0,DJ,1
2021Q2,0.0,DJ,1
2021Q3,0.25,DJ,0
2021Q4,0.25,DJ,0
2022Q1,0.25,DJ,0
2022Q2,0.5,DJ,0
2022Q3,0.75,DJ,0
2022Q4,0.75,DJ,0
2023Q1,0.25,DJ,0
2023Q2,0.0,DJ,0
2023Q3,0.0,DJ,0
2023Q4,0.0,DJ,0
2024Q1,0.0,DJ,0
2024Q2,0.0,DJ,0
2024Q3,0.0,DJ,0
2024Q4,-0.5,DJ,0
2025Q1,-0.25,DJ,0
2025Q2,-0.25,DJ,0
2025Q3,0.0,DJ,0
2025Q4,0.0,DJ,0
2026Q1,0.0,DJ,0
2026Q2,0.0,DJ,0
2009Q2,0.0,US,0
2009Q3,0.0,US,0
2009Q4,0.0,US,0
2010Q1,0.0,US,0
2010Q2,0.0,US,0
2010Q3,0.25,US,0
2010Q4,0.25,US,0
2011Q1,0.5,US,0
2011Q2,0.25,US,0
2011Q3,0.0,US,0
2011Q4,0.0,US,0
2012Q1,0.0,US,0
2012Q2,0.0,US,0
2012Q3,-0.25,US,0
2012Q4,-0.25,US,0
2013Q1,0.0,US,0
2013Q2,-0.25,US,0
2013Q3,0.0,US,0
2013Q4,0.0,US,0
2014Q1,0.0,US,0
2014Q2,0.0,US,0
2014Q3,-0.25,US,0
2014Q4,-0.25,US,0
2015Q1,-0.25,US,0
2015Q2,-0.25,US,0
2015Q3,0.0,US,0
2015Q4,0.0,US,0
2016Q1,0.0,US,0
2016Q2,-0.25,US,0
2016Q3,0.0,US,0
2016Q4,0.0,US,0
2017Q1,0.0,US,0
2017Q2,0.0,US,0
2017Q3,0.0,US,0
2017Q4,0.25,US,0
2018Q1,0.0,US,0
2018Q2,0.0,US,0
2018Q3,0.0,US,0
2018Q4,0.25,US,0
2019Q1,0.0,US,0
2019Q2,0.0,US,0
2019Q3,-0.25,US,0
2019Q4,-0.25,US,0
2020Q1,-0.5,US,1
2020Q2,-0.25,US,1
2020Q3,0.0,US,1
2020Q4,0.0,US,1
2021Q1,0.0,US,1
2021Q2,0.0,US,1
2021Q3,0.25,US,0
2021Q4,0.25,US,0
2022Q1,0.25,US,0
2022Q2,0.5,US,0
2022Q3,0.75,US,0
2022Q4,0.75,US,0
2023Q1,0.25,US,0
2023Q2,0.0,US,0
2023Q3,0.0,US,0
2023Q4,0.0,US,0
2024Q1,0.0,US,0
2024Q2,0.0,US,0
2024Q3,0.0,US,0
2024Q4,-0.5,US,0
2025Q1,-0.25,US,0
2025Q2,-0.25,US,0
2025Q3,0.0,US,0
2025Q4,0.0,US,0
2026Q1,0.0,US,0
2026Q2,0.0,US,0
